Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,,,,,,
,,Hogares,,,,,,,,,,,,,,,,,,,,
,,Hogares (Hogares),,,,,,,,,,,Población en hogares (Hogares),,,,,,,,,
,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes",Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
08010,Buenaventura,4168,3681,487,4168,2145,132,20,452,243,248,1050,17733,16048,1685,17733,8951,8782,,,,
08011,Camargo,9743,8357,1386,9743,1923,554,106,782,481,,,45120,39832,5288,45120,8867,3348,32905,,,
08012,Carichí,2053,1820,233,2053,2053,542,247,730,181,353,,8995,8257,738,8995,8995,,,,,
08013,Casas Grandes,2282,2005,277,2282,1650,115,161,643,139,592,,9997,9109,888,9997,7167,2830,,,,
08014,Coronado,614,568,46,614,614,66,31,170,103,244,,2908,2783,125,2908,2908,,,,,
08015,Coyame del Sotol,553,501,52,553,553,138,11,232,172,,,2259,2084,175,2259,2259,,,,,
08016,La Cruz,892,740,152,892,892,42,43,165,313,329,,3993,3387,606,3993,3993,,,,,
08017,Cuauhtémoc,24868,21100,3768,24868,6556,351,249,4673,510,266,507,112013,98877,13136,112013,31971,10589,69453,,,
08018,Cusihuiriachi,1524,1385,139,1524,1524,150,219,705,450,,,6452,6052,400,6452,6452,,,,,
08019,Chihuahua,119048,96687,22361,119048,3382,634,401,1490,398,,459,521914,441296,80618,521914,14593,,,507321,,
08020,Chínipas,1300,1138,162,1300,1300,378,179,469,274,,,7085,6401,684,7085,7085,,,,,
08021,Delicias,22737,19358,3379,22737,3052,680,23,564,536,1249,,103018,90401,12617,103018,13960,2576,86482,,,
08022,Dr. Belisario Domínguez,1347,1156,191,1347,1347,39,85,401,490,332,,5331,4710,621,5331,5331,,,,,
08023,Galeana,711,637,74,711,711,60,,66,299,286,,3125,2857,268,3125,3125,,,,,
08024,Santa Isabel,1212,1041,171,1212,1212,68,88,800,,256,,5265,4685,580,5265,5265,,,,,
08025,Gómez Farías,2343,2012,331,2343,1213,19,18,234,352,590,,10054,8978,1076,10054,5189,4865,,,,
08026,Gran Morelos,1280,1043,237,1280,1280,99,80,655,446,,,5306,4483,823,5306,5306,,,,,
08027,Guachochi,7219,6458,761,7219,5636,2346,1204,1469,617,,,33415,30638,2777,33415,25950,7465,,,,
08028,Guadalupe,2055,1755,300,2055,1232,137,101,288,311,395,,9002,7835,1167,9002,5238,3764,,,,
08029,Guadalupe y Calvo,6250,5221,1029,6250,6250,1657,1033,2379,555,626,,34624,29892,4732,34624,34624,,,,,
08030,Guazapares,1915,1647,268,1915,1915,961,255,509,190,,,9584,8540,1044,9584,9584,,,,,
08031,Guerrero,9622,8203,1419,9622,6375,602,322,2100,1937,946,468,41364,36741,4623,41364,27589,13775,,,,
08032,Hidalgo del Parral,19127,15924,3203,19127,547,258,114,175,,,,89735,77491,12244,89735,2441,,87294,,,
08033,Huejotitán,366,318,48,366,366,96,79,191,,,,1733,1567,166,1733,1733,,,,,
08034,Ignacio Zaragoza,2111,1847,264,2111,1415,82,96,590,322,325,,9014,8201,813,9014,6032,2982,,,,
08035,Janos,2241,2070,171,2241,2241,132,,391,719,523,476,10875,10233,642,10875,10875,,,,,
08036,Jiménez,7630,6550,1080,7630,1698,483,103,758,147,207,,36684,32331,4353,36684,8272,,28412,,,
08037,Juárez,170328,136408,33920,170328,1396,54,,234,615,,493,760647,628764,131883,760647,5977,2934,,751736,,
08038,Julimes,1340,1188,152,1340,1340,22,,525,364,429,,5600,5195,405,5600,5600,,,,,
08039,López,1086,950,136,1086,1086,63,,204,284,,535,4671,4248,423,4671,4671,,,,,
08040,Madera,8063,6814,1249,8063,3271,335,114,1118,503,683,518,35627,31236,4391,35627,14410,21217,,,,
08041,Maguarichi,381,326,55,381,381,231,26,124,,,,1672,1486,186,1672,1672,,,,,
08042,Manuel Benavides,646,558,88,646,646,165,69,167,,245,,2756,2440,316,2756,2756,,,,,
08043,Matachí,941,790,151,941,941,30,85,161,148,,517,4061,3565,496,4061,4061,,,,,
08044,Matamoros,1150,1012,138,1150,1150,84,59,353,130,,524,5300,4825,475,5300,5300,,,,,
08045,Meoqui,7768,6708,1060,7768,2681,259,60,731,710,921,,34833,31038,3795,34833,11982,6508,16343,,,
08046,Morelos,1245,1086,159,1245,1245,640,225,380,,,,6294,5693,601,6294,6294,,,,,
08047,Moris,1001,878,123,1001,1001,354,151,348,148,,,4888,4423,465,4888,4888,,,,,
08048,Namiquipa,6872,6102,770,6872,4317,114,169,2178,600,1256,,29918,27388,2530,29918,18755,11163,,,,
08049,Nonoava,785,722,63,785,785,173,66,249,,297,,3468,3252,216,3468,3468,,,,,
08050,Nuevo Casas Grandes,10748,9034,1714,10748,1016,44,81,491,400,,,48682,42409,6273,48682,5017,,43665,,,
08051,Ocampo,1549,1328,221,1549,1549,333,157,745,314,,,7194,6418,776,7194,7194,,,,,
08052,Ojinaga,5635,4665,970,5635,1372,166,230,976,,,,23710,20485,3225,23710,5722,,17988,,,
08053,Praxedis G. Guerrero,1849,1531,318,1849,477,54,30,132,,261,,8287,7106,1181,8287,2106,6181,,,,
08054,Riva Palacio,1959,1827,132,1959,1959,153,240,1381,185,,,10031,9620,411,10031,10031,,,,,
08055,Rosales,3134,2772,362,3134,2137,244,,291,766,359,477,14102,12755,1347,14102,9743,4359,,,,
08056,Rosario,671,592,79,671,671,62,44,565,,,,3199,2960,239,3199,3199,,,,,
08057,San Francisco de Borja,795,712,83,795,795,115,39,319,,322,,3218,2973,245,3218,3218,,,,,
08058,San Francisco de Conchos,731,637,94,731,731,99,66,60,155,351,,3207,2897,310,3207,3207,,,,,
08059,San Francisco del Oro,2127,1834,293,2127,220,82,16,122,,,,9463,8505,958,9463,981,8482,,,,
08060,Santa Bárbara,3246,2811,435,3246,496,134,42,320,,,,15103,13542,1561,15103,2371,12732,,,,
08061,Satevó,1415,1257,158,1415,1415,258,210,947,,,,6283,5773,510,6283,6283,,,,,
08062,Saucillo,6900,6014,886,6900,3338,342,61,940,719,357,919,31457,28371,3086,31457,15411,16046,,,,
08063,Temósachic,2095,1835,260,2095,2095,314,83,838,336,,524,8971,8190,781,8971,8971,,,,,
08064,El Tule,582,494,88,582,582,93,17,119,116,237,,2624,2347,277,2624,2624,,,,,
08065,Urique,3246,2710,536,3246,3246,1443,368,542,482,411,,14890,12892,1998,14890,14890,,,,,
08066,Uruachi,1490,1272,218,1490,1490,669,309,512,,,,7151,6340,811,7151,7151,,,,,
08067,Valle de Zaragoza,1512,1319,193,1512,1512,251,116,777,,368,,6634,6050,584,6634,6634,,,,,
08996,No especificado,,,,,,,,,,,,,,,,,,,,,
08997,Otros estados,,,,,,,,,,,,,,,,,,,,,
08998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
09,Distrito Federal,1818500,1419986,398514,1818500,4400,608,457,702,270,1048,1315,8083787,6632295,1451492,8083787,21540,119614,,5229736,2712897,
09002,Azcapotzalco,105208,82853,22355,105208,,,,,,,,469451,386479,82972,469451,,,,469451,,
09003,Coyoacán,144536,113695,30841,144536,,,,,,,,630457,522320,108137,630457,,,,630457,,
09004,Cuajimalpa de Morelos,23980,20574,3406,23980,1481,3,19,101,172,768,418,118502,103910,14592,118502,7435,6605,,104462,,
09005,Gustavo A. Madero,269150,215298,53852,269150,,,,,,,,1248359,1036201,212158,1248359,,,,,1248359,
09006,Iztacalco,95329,74957,20372,95329,,,,,,,,437949,357324,80625,437949,,,,437949,,
09007,Iztapalapa,301617,248927,52690,301617,,,,,,,,1464538,1241833,222705,1464538,,,,,1464538,
09008,La Magdalena Contreras,40419,32996,7423,40419,21,5,16,,,,,188611,159745,28866,188611,89,,,188522,,
09009,Milpa Alta,12395,10651,1744,12395,1323,230,147,49,,,897,62580,55098,7482,62580,6322,56258,,,,
09010,Álvaro Obregón,136463,109225,27238,136463,41,,,41,,,,631635,527227,104408,631635,190,,,631445,,
09011,Tláhuac,40156,34252,5904,40156,208,81,71,56,,,,203841,177504,26337,203841,1049,31121,,171671,,
09012,Tlalpan,104292,85039,19253,104292,705,128,61,236,,280,,470328,398922,71406,470328,3355,25630,,441343,,
09013,Xochimilco,53964,45079,8885,53964,621,161,143,219,98,,,264784,227113,37671,264784,3100,,,261684,,
09014,Benito Juárez,114395,77494,36901,114395,,,,,,,,399053,296730,102323,399053,,,,399053,,
09015,Cuauhtémoc,158635,107954,50681,158635,,,,,,,,582564,427605,154959,582564,,,,582564,,
09016,Miguel Hidalgo,98727,71345,27382,98727,,,,,,,,397279,309045,88234,397279,,,,397279,,
09017,Venustiano Carranza,119234,89647,29587,119234,,,,,,,,513856,405239,108617,513856,,,,513856,,
09996,No especificado,,,,,,,,,,,,,,,,,,,,,
09997,Otros estados,,,,,,,,,,,,,,,,,,,,,
10,Durango,262378,217512,44866,262378,107371,10018,5567,34989,25375,26736,4686,1315563,1135154,180409,1315563,562513,179654,75311,498085,,
10001,Canatlán,6626,5392,1234,6626,4971,195,62,1286,1417,2011,,33872,28719,5153,33872,25773,8099,,,,
10002,Canelas,824,655,169,824,824,329,109,251,135,,,4436,3656,780,4436,4436,,,,,
10003,Coneto de Comonfort,939,808,131,939,939,59,12,329,198,341,,5433,4855,578,5433,5433,,,,,
10004,Cuencamé,6475,5492,983,6475,4038,163,60,1053,1140,756,866,34035,30009,4026,34035,21116,12919,,,,
10005,Durango,82472,66545,15927,82472,11479,669,341,3070,4024,2916,459,402114,338779,63335,402114,61597,2514,,338003,,
10006,General Simón Bolívar,2269,1921,348,2269,2269,37,8,687,203,1334,,12528,10972,1556,12528,12528,,,,,
10007,Gómez Palacio,46694,39956,6738,46694,12370,667,314,3065,3190,4690,444,227310,201370,25940,227310,64677,2551,,160082,,
10008,Guadalupe Victoria,6270,5263,1007,6270,1776,46,12,28,641,598,451,31189,27309,3880,31189,9020,22169,,,,
10009,Guanaceví,2410,2048,362,2410,2410,366,173,1096,375,400,,11687,10311,1376,11687,11687,,,,,
10010,Hidalgo,1149,957,192,1149,1149,72,18,404,401,254,,5493,4710,783,5493,5493,,,,,
10011,Indé,1684,1476,208,1684,1684,101,148,894,541,,,8265,7523,742,8265,8265,,,,,
10012,Lerdo,18017,15604,2413,18017,5701,265,97,948,891,3500,,91656,81742,9914,91656,30270,15942,45444,,,
10013,Mapimí,4637,4099,538,4637,1717,274,220,782,441,,,24687,22426,2261,24687,9242,15445,,,,
10014,Mezquital,4118,3406,712,4118,4118,1390,561,1274,348,545,,22356,19145,3211,22356,22356,,,,,
10015,Nazas,2776,2284,492,2776,1622,74,40,622,561,325,,14056,12132,1924,14056,8079,5977,,,,
10016,Nombre de Dios,3940,3215,725,3940,3119,81,13,871,586,1568,,19390,16525,2865,19390,15062,4328,,,,
10017,Ocampo,2753,2340,413,2753,2096,172,197,604,332,791,,12934,11404,1530,12934,9958,2976,,,,
10018,El Oro,3203,2525,678,3203,2132,81,138,1353,295,265,,14632,12111,2521,14632,9560,5072,,,,
10019,Otáez,734,601,133,734,734,149,154,307,124,,,4205,3613,592,4205,4205,,,,,
10020,Pánuco de Coronado,2738,2246,492,2738,1820,33,,402,825,560,,14121,12189,1932,14121,9577,4544,,,,
10021,Peñón Blanco,2148,1788,360,2148,1195,95,17,225,457,401,,10803,9351,1452,10803,5828,4975,,,,
10022,Poanas,4929,3993,936,4929,3124,27,,60,576,804,1657,25671,21775,3896,25671,16352,9319,,,,
10023,Pueblo Nuevo,6833,5734,1099,6833,3479,517,471,1554,937,,,38209,33033,5176,38209,20735,2902,14572,,,
10024,Rodeo,2659,2133,526,2659,1969,79,49,1158,428,255,,13927,11834,2093,13927,10469,3458,,,,
10025,San Bernardo,1243,1069,174,1243,1243,152,94,660,337,,,5578,5016,562,5578,5578,,,,,
10026,San Dimas,4215,3657,558,4215,3031,587,373,1577,494,,,22774,20290,2484,22774,16823,5951,,,,
10027,San Juan de Guadalupe,1440,1151,289,1440,1440,102,100,703,135,,400,7546,6332,1214,7546,7546,,,,,
10028,San Juan del Río,2781,2209,572,2781,2234,71,72,1025,657,,409,14103,11852,2251,14103,11358,2745,,,,
10029,San Luis del Cordero,511,368,143,511,511,13,10,88,,400,,2513,1942,571,2513,2513,,,,,
10030,San Pedro del Gallo,505,456,49,505,505,60,,271,174,,,2611,2390,221,2611,2611,,,,,
10031,Santa Clara,1433,1179,254,1433,643,17,,187,215,224,,7680,6664,1016,7680,3452,4228,,,,
10032,Santiago Papasquiaro,8314,6672,1642,8314,5217,387,397,2601,1243,589,,41029,34405,6624,41029,25734,,15295,,,
10033,Súchil,1466,1157,309,1466,591,63,,394,134,,,7492,6193,1299,7492,3264,4228,,,,
10034,Tamazula,3461,2995,466,3461,3461,1212,780,1226,86,157,,21484,19117,2367,21484,21484,,,,,
10035,Tepehuanes,3409,2551,858,3409,2473,439,260,1246,528,,,14723,11791,2932,14723,10530,4193,,,,
10036,Tlahualilo,5274,4577,697,5274,2538,188,37,719,302,1292,,26849,23971,2878,26849,12975,13874,,,,
10037,Topia,1783,1493,290,1783,1783,704,190,539,,350,,10341,9016,1325,10341,10341,,,,,
10038,Vicente Guerrero,3736,3052,684,3736,1089,10,11,156,386,526,,18393,15803,2590,18393,5461,12932,,,,
10039,Nuevo Ideal,5510,4445,1065,5510,3877,72,29,1274,1618,884,,29438,24879,4559,29438,21125,8313,,,,
10996,No especificado,,,,,,,,,,,,,,,,,,,,,
10997,Otros estados,,,,,,,,,,,,,,,,,,,,,
10998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
11,Guanajuato,702747,587957,114790,702747,253073,8879,9686,78215,73712,67862,14719,3863875,3357936,505939,3863875,1434738,380163,729732,1319242,,
11001,Abasolo,12064,10140,1924,12064,8308,328,455,2335,2207,2983,,69129,60351,8778,69129,47542,2637,18950,,,
11002,Acámbaro,21368,16964,4404,21368,9282,58,30,1828,3646,2724,996,109342,91403,17939,109342,47744,11551,50047,,,
11003,San Miguel de Allende,18711,15501,3210,18711,10309,482,590,4993,3258,575,411,106107,91614,14493,106107,60773,,45334,,,
11004,Apaseo el Alto,8874,7402,1472,8874,5220,123,136,1466,1618,1429,448,47782,41410,6372,47782,28227,,19555,,,
11005,Apaseo el Grande,11019,9261,1758,11019,6007,116,61,416,1392,3155,867,60728,53033,7695,60728,33736,9822,17170,,,
11006,Atarjea,963,848,115,963,963,30,79,745,109,,,5167,4782,385,5167,5167,,,,,
11007,Celaya,58274,48736,9538,58274,9055,143,133,685,1964,5319,811,304338,263694,40644,304338,50902,43335,,210101,,
11008,Manuel Doblado,6805,5650,1155,6805,4795,498,465,1916,1011,905,,37218,32411,4807,37218,26864,10354,,,,
11009,Comonfort,9457,7837,1620,9457,3968,72,74,1257,1050,1515,,54973,47409,7564,54973,23796,13437,17740,,,
11010,Coroneo,1943,1532,411,1943,1943,15,11,829,584,,504,9345,7904,1441,9345,9345,,,,,
11011,Cortazar,13279,11055,2224,13279,3758,94,109,921,1462,1172,,72411,62536,9875,72411,20220,7906,44285,,,
11012,Cuerámaro,4243,3336,907,4243,2074,107,114,621,725,507,,22829,18834,3995,22829,11248,11581,,,,
11013,Doctor Mora,2835,2450,385,2835,2222,28,88,1689,249,168,,16659,15092,1567,16659,13477,3182,,,,
11014,Dolores Hidalgo Cuna de la Independencia Nacional,17601,14212,3389,17601,10963,637,898,6088,2365,975,,101237,85611,15626,101237,64115,,37122,,,
11015,Guanajuato,20768,17018,3750,20768,6989,149,306,1854,1905,2033,742,110549,94245,16304,110549,41123,4060,65366,,,
11016,Huanímaro,3190,2505,685,3190,2486,12,16,799,969,690,,18118,14949,3169,18118,14136,3982,,,,
11017,Irapuato,65540,55531,10009,65540,12978,249,255,2270,4013,5092,1099,350496,306831,43665,350496,76271,19574,,254651,,
11018,Jaral del Progreso,5475,4591,884,5475,1399,46,,179,740,434,,29352,25705,3647,29352,7856,21496,,,,
11019,Jerécuaro,9640,8096,1544,9640,8544,72,82,3721,2186,2044,439,51035,45038,5997,51035,45595,5440,,,,
11020,León,149109,126937,22172,149109,11005,785,554,2902,2337,2522,1905,840287,736433,103854,840287,65158,41440,,733689,,
11021,Moroleón,8721,7343,1378,8721,1360,5,,814,257,284,,43673,38243,5430,43673,7010,,36663,,,
11022,Ocampo,3425,2785,640,3425,2484,174,149,500,618,1043,,19461,16697,2764,19461,14043,5418,,,,
11023,Pénjamo,24310,19991,4319,24310,17033,409,685,5544,6509,3089,797,135205,116151,19054,135205,95082,13379,26744,,,
11024,Pueblo Nuevo,1958,1506,452,1958,1174,58,18,631,467,,,10470,8461,2009,10470,6708,3762,,,,
11025,Purísima del Rincón,5323,4459,864,5323,3196,129,61,695,996,1315,,30126,26528,3598,30126,17802,12324,,,,
11026,Romita,7515,5919,1596,7515,4717,163,134,1681,1389,1350,,43491,35897,7594,43491,27371,,16120,,,
11027,Salamanca,38785,33136,5649,38785,10050,287,274,2527,4343,2199,420,200276,176812,23464,200276,55167,24308,,120801,,
11028,Salvatierra,18698,14862,3836,18698,6650,23,68,924,1302,3886,447,94788,79358,15430,94788,32867,29621,32300,,,
11029,San Diego de la Unión,5370,4320,1050,5370,4366,285,426,1869,816,970,,30650,25790,4860,30650,25502,5148,,,,
11030,San Felipe,14438,12500,1938,14438,10272,662,711,3729,3135,1707,328,86165,77461,8704,86165,62614,3318,20233,,,
11031,San Francisco del Rincón,14425,12035,2390,14425,5310,118,222,1569,1402,1999,,82005,71363,10642,82005,30939,,51066,,,
11032,San José Iturbide,7537,6343,1194,7537,5286,122,286,2778,1115,588,397,42179,37072,5107,42179,30287,11892,,,,
11033,San Luis de la Paz,13231,11070,2161,13231,7753,886,629,3665,1471,732,370,77573,67468,10105,77573,45839,,31734,,,
11034,Santa Catarina,766,618,148,766,766,69,142,380,175,,,3979,3435,544,3979,3979,,,,,
11035,Santa Cruz de Juventino Rosas,9418,8202,1216,9418,3643,146,133,1089,1027,912,336,54589,48786,5803,54589,21526,4109,28954,,,
11036,Santiago Maravatío,1721,1449,272,1721,844,,15,299,530,,,9113,8007,1106,9113,4732,4381,,,,
11037,Silao,17993,15810,2183,17993,8351,425,255,1947,3282,1393,1049,111942,101336,10606,111942,53102,10087,48753,,,
11038,Tarandacuao,2346,1836,510,2346,1018,15,,409,396,198,,12223,10192,2031,12223,5466,6757,,,,
11039,Tarimoro,7290,5919,1371,7290,4088,34,16,488,1337,1789,424,37989,32361,5628,37989,21539,16450,,,,
11040,Tierra Blanca,2232,1978,254,2232,2232,81,43,1273,598,237,,13035,12056,979,13035,13035,,,,,
11041,Uriangato,8391,7043,1348,8391,1627,16,23,567,462,559,,44175,38544,5631,44175,8745,,35430,,,
11042,Valle de Santiago,22042,18794,3248,22042,12636,103,202,2937,4515,3302,1577,124215,109775,14440,124215,71740,3028,49447,,,
11043,Victoria,3292,2763,529,3292,3292,303,359,1285,975,370,,18179,16106,2073,18179,18179,,,,,
11044,Villagrán,6564,5672,892,6564,2097,166,36,234,139,1170,352,37884,33593,4291,37884,12204,8067,17613,,,
11045,Xichú,2052,1746,306,2052,2052,114,213,1336,389,,,11595,10371,1224,11595,11595,,,,,
11046,Yuriria,13746,10256,3490,13746,8508,42,130,1531,2277,4528,,71793,56788,15005,71793,44370,8317,19106,,,
11996,No especificado,,,,,,,,,,,,,,,,,,,,,
11997,Otros estados,,,,,,,,,,,,,,,,,,,,,
11998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
12,Guerrero,504854,401760,103094,504854,228817,9002,9892,74662,64082,55366,15813,2551081,2132088,418993,2551081,1229954,412727,403656,504744,,
12001,Acapulco de Juárez,123282,94455,28827,123282,11198,204,124,2367,3115,4640,748,580622,462663,117959,580622,61484,14394,,504744,,
12002,Ahuacuotzingo,3259,2378,881,3259,3259,89,105,1279,964,419,403,16272,12674,3598,16272,16272,,,,,
12003,Ajuchitlán del Progreso,5874,4634,1240,5874,4012,158,234,914,1642,675,389,35435,29359,6076,35435,24178,11257,,,,
12004,Alcozauca de Guerrero,2398,2138,260,2398,2398,,33,404,726,1235,,14647,13257,1390,14647,14647,,,,,
12005,Alpoyeca,854,719,135,854,429,,,61,156,212,,4987,4411,576,4987,2495,2492,,,,
12006,Apaxtla,2622,2115,507,2622,1300,44,56,411,571,218,,14006,11868,2138,14006,7317,6689,,,,
12007,Arcelia,5724,4511,1213,5724,2998,209,294,1367,731,397,,30178,25068,5110,30178,16232,13946,,,,
12008,Atenango del Río,1566,1158,408,1566,1070,30,33,183,635,189,,7807,6221,1586,7807,5494,2313,,,,
12009,Atlamajalcingo del Monte,773,706,67,773,773,2,,389,382,,,4106,3828,278,4106,4106,,,,,
12010,Atlixtac,2974,2542,432,2974,2974,50,131,911,1245,637,,16651,14894,1757,16651,16651,,,,,
12011,Atoyac de Álvarez,11617,9033,2584,11617,6517,219,292,2255,2114,645,992,57878,47362,10516,57878,33546,6146,18186,,,
12012,Ayutla de los Libres,6956,5870,1086,6956,5802,48,82,2288,1959,996,429,38443,33699,4744,38443,32835,5608,,,,
12013,Azoyú,6007,4694,1313,6007,3533,170,130,1341,313,1579,,31897,26426,5471,31897,18848,13049,,,,
12014,Benito Juárez,3485,2669,816,3485,1991,64,23,260,147,950,547,15325,12403,2922,15325,8645,6680,,,,
12015,Buenavista de Cuéllar,2226,1799,427,2226,957,33,42,130,514,238,,10551,9067,1484,10551,4871,5680,,,,
12016,Coahuayutla de José María Izazaga,2472,2054,418,2472,2472,406,470,1265,113,218,,13119,11552,1567,13119,13119,,,,,
12017,Cocula,3408,2504,904,3408,1632,46,30,822,305,,429,16255,12624,3631,16255,8196,8059,,,,
12018,Copala,2081,1554,527,2081,1008,39,14,242,474,239,,11150,9001,2149,11150,5591,5559,,,,
12019,Copalillo,1897,1561,336,1897,1176,93,63,472,329,219,,10955,9603,1352,10955,6178,4777,,,,
12020,Copanatoyac,2546,2233,313,2546,2546,22,39,806,397,1282,,13777,12515,1262,13777,13777,,,,,
12021,Coyuca de Benítez,12113,9693,2420,12113,7895,207,158,1979,2338,3213,,59776,50361,9415,59776,39564,20212,,,,
12022,Coyuca de Catalán,8152,6257,1895,8152,6614,589,486,1800,1881,1331,527,42162,34732,7430,42162,33989,8173,,,,
12023,Cuajinicuilapa,4426,3391,1035,4426,2293,127,80,505,1008,195,378,23956,19444,4512,23956,12526,11430,,,,
12024,Cualác,1053,853,200,1053,1053,33,67,301,160,492,,5824,5011,813,5824,5824,,,,,
12025,Cuautepec,2054,1740,314,2054,1620,35,63,460,617,445,,11728,10400,1328,11728,9276,2452,,,,
12026,Cuetzala del Progreso,1903,1542,361,1903,1437,19,22,217,367,274,538,9221,7893,1328,9221,7093,2128,,,,
12027,Cutzamala de Pinzón,5542,4128,1414,5542,4552,325,289,1966,798,1174,,28333,22650,5683,28333,23831,4502,,,,
12028,Chilapa de Álvarez,16424,13861,2563,16424,12367,77,256,4478,3907,2226,1423,82476,72633,9843,82476,62661,5072,14743,,,
12029,Chilpancingo de los Bravo,26689,21049,5640,26689,3904,139,66,1205,890,1604,,131992,108847,23145,131992,21367,17312,93313,,,
12030,Florencio Villarreal,2813,2152,661,2813,1320,89,55,553,623,,,15438,12431,3007,15438,7403,8035,,,,
12031,General Canuto A. Neri,1610,1298,312,1610,1610,91,212,738,270,299,,9087,7713,1374,9087,9087,,,,,
12032,General Heliodoro Castillo,4713,3937,776,4713,3866,404,384,2094,798,186,,28697,24825,3872,28697,24039,4658,,,,
12033,Huamuxtitlán,2488,1843,645,2488,1559,10,,168,420,961,,12683,10117,2566,12683,8060,4623,,,,
12034,Huitzuco de los Figueroa,7309,5591,1718,7309,3833,92,,437,1208,1052,1044,35085,28722,6363,35085,18600,16485,,,,
12035,Iguala de la Independencia,21190,16073,5117,21190,2395,117,73,562,653,569,421,99868,79701,20167,99868,11722,5772,82374,,,
12036,Igualapa,1395,1144,251,1395,1395,9,,452,313,218,403,7395,6419,976,7395,7395,,,,,
12037,Ixcateopan de Cuauhtémoc,1550,1150,400,1550,1550,21,79,284,420,299,447,7528,6037,1491,7528,7528,,,,,
12038,Zihuatanejo de Azueta,13576,11048,2528,13576,3079,354,396,635,1047,647,,61751,52093,9658,61751,15887,9823,36041,,,
12039,Juan R. Escudero,3519,2818,701,3519,1682,11,12,594,522,543,,18281,15480,2801,18281,9018,9263,,,,
12040,Leonardo Bravo,3466,3004,462,3466,1357,30,23,670,634,,,19328,17268,2060,19328,7918,11410,,,,
12041,Malinaltepec,5041,4246,795,5041,5041,8,48,1810,1750,1003,422,29275,25780,3495,29275,29275,,,,,
12042,Mártir de Cuilapan,2625,2270,355,2625,1870,7,14,312,409,1128,,13512,12204,1308,13512,10027,3485,,,,
12043,Metlatónoc,4474,4020,454,4474,4474,97,318,2670,788,601,,23188,21350,1838,23188,23188,,,,,
12044,Mochitlán,1977,1608,369,1977,1138,35,110,400,593,,,9460,8188,1272,9460,5755,3705,,,,
12045,Olinalá,3081,2632,449,3081,2266,80,130,990,559,164,343,18213,16195,2018,18213,13856,4357,,,,
12046,Ometepec,7012,5625,1387,7012,3809,106,144,1125,677,896,861,37392,31657,5735,37392,20865,16527,,,,
12047,Pedro Ascencio Alquisiras,1370,1092,278,1370,1370,133,316,801,120,,,7731,6571,1160,7731,7731,,,,,
12048,Petatlán,8480,6859,1621,8480,3684,498,399,1513,533,300,441,42428,35840,6588,42428,19315,5590,17523,,,
12049,Pilcaya,2016,1612,404,2016,1241,28,32,636,337,208,,9742,8390,1352,9742,6187,3555,,,,
12050,Pungarabato,4854,3879,975,4854,1482,2,13,352,554,170,391,24775,20675,4100,24775,8567,,16208,,,
12051,Quechultenango,5549,4832,717,5549,4239,50,175,1353,2480,181,,28698,25892,2806,28698,22582,6116,,,,
12052,San Luis Acatlán,4625,3929,696,4625,3223,79,45,632,889,879,699,26847,23733,3114,26847,19201,7646,,,,
12053,San Marcos,8330,6532,1798,8330,4721,161,252,2171,1236,901,,44166,36903,7263,44166,25930,18236,,,,
12054,San Miguel Totolapan,3961,3123,838,3961,3360,253,403,1236,674,794,,24200,20096,4104,24200,21016,3184,,,,
12055,Taxco de Alarcón,17372,14217,3155,17372,6723,170,156,1903,2165,1915,414,85993,73745,12248,85993,35398,9409,41186,,,
12056,Tecoanapa,6110,4949,1161,6110,5136,29,39,1084,1520,2464,,34230,28842,5388,34230,29059,5171,,,,
12057,Técpan de Galeana,12471,10130,2341,12471,5768,669,468,1855,960,727,1089,58540,49859,8681,58540,28110,12813,17617,,,
12058,Teloloapan,10230,7949,2281,10230,6446,209,355,2617,1767,1498,,53292,44081,9211,53292,34326,2498,16468,,,
12059,Tepecoacuilco de Trujano,6617,5440,1177,6617,4382,53,,370,996,2598,365,33183,28873,4310,33183,22349,10834,,,,
