Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 07 073 ,Rayón,"5,431",874,939,821,531,443,368,302,286,220,154,123,113,82,53,49,24,21,6,7,4,2,9
 07 074 ,Reforma,"30,875","4,867","5,035","4,370","3,253","2,593","2,534","2,049","1,832","1,119",885,611,471,333,209,165,109,64,43,22,15,12,284
 07 075 ,Las Rosas,"16,617","2,353","2,485","2,202","1,822","1,516","1,228",954,886,650,582,464,319,403,216,197,102,98,31,33,16,16,44
 07 076 ,Sabanilla,"17,475","3,175","3,147","2,430","1,920","1,380","1,147",907,899,565,544,354,222,218,148,131,102,80,27,17,8,9,45
 07 077 ,Salto de Agua,"41,583","6,979","7,082","5,744","4,831","3,929","3,164","2,140","1,991","1,388","1,144",918,572,643,293,293,152,154,49,30,14,7,66
 07 078 ,San Cristóbal de las Casas,"89,335","12,870","12,779","11,355","10,320","8,880","7,573","6,068","5,134","3,518","2,818","1,957","1,427","1,400",869,743,466,304,173,85,30,31,535
 07 079 ,San Fernando,"22,388","3,130","3,324","3,201","2,612","2,394","1,814","1,300","1,176",794,676,496,404,320,225,199,113,63,40,20,8,8,71
 07 080 ,Siltepec,"29,629","5,206","5,302","4,268","3,266","2,395","2,204","1,402","1,456",960,906,641,488,367,229,196,112,82,29,21,24,22,53
 07 081 ,Simojovel,"28,038","5,101","4,841","3,907","2,964","2,363","1,996","1,511","1,400",884,767,605,369,448,230,238,109,132,36,38,17,15,67
 07 082 ,Sitalá,"6,640","1,248","1,063",938,776,610,500,330,296,191,193,152,87,103,37,42,18,31,7,7,,,11
 07 083 ,Socoltenango,"11,368","1,795","1,884","1,477","1,266","1,050",845,596,628,405,347,275,236,201,108,103,50,49,18,13,2,7,13
 07 084 ,Solosuchiapa,"6,417","1,085","1,090",933,732,556,453,345,271,217,185,157,108,100,73,29,33,17,4,7,1,4,17
 07 085 ,Soyaló,"6,243",916,"1,024",915,703,562,410,343,361,232,192,145,106,98,60,53,31,23,24,13,4,6,22
 07 086 ,Suchiapa,"12,293","1,743","1,815","1,646","1,465","1,142",869,715,643,482,407,351,241,204,148,127,68,69,30,13,16,7,92
 07 087 ,Suchiate,"25,739","3,897","3,815","3,535","2,949","2,286","1,931","1,586","1,331","1,070",894,727,475,375,281,198,124,80,44,12,12,7,110
 07 088 ,Sunuapa,"1,739",324,282,241,178,170,119,81,67,63,57,48,32,27,17,10,12,5,3,1,,,2
 07 089 ,Tapachula,"222,405","29,148","29,787","28,409","26,061","21,535","17,736","15,365","13,169","9,844","8,092","6,197","4,890","3,894","2,767","1,837","1,326",771,438,175,81,46,837
 07 090 ,Tapalapa,"3,343",541,537,501,329,281,215,167,154,149,112,91,69,44,57,36,23,17,9,4,3,,4
 07 091 ,Tapilula,"8,491","1,362","1,346","1,254",966,719,577,499,440,322,263,190,155,143,79,66,37,23,14,7,2,2,25
 07 092 ,Tecpatán,"34,465","5,433","5,591","5,187","3,856","2,898","2,423","1,974","1,734","1,181","1,098",906,604,555,306,243,150,107,56,23,14,16,110
 07 093 ,Tenejapa,"27,217","4,927","4,754","3,858","2,635","2,367","1,993","1,369","1,288",817,779,604,414,438,269,233,140,128,52,50,19,30,53
 07 094 ,Teopisca,"18,186","2,975","3,053","2,405","1,910","1,563","1,377","1,043","1,001",656,510,444,260,295,194,197,90,85,40,19,8,4,57
 07 096 ,Tila,"48,558","8,460","7,962","6,275","4,783","3,966","3,697","2,585","2,701","1,872","1,679","1,261",747,927,442,439,177,274,76,86,31,36,82
 07 097 ,Tonalá,"67,491","8,700","9,248","9,517","8,218","5,913","4,891","4,093","3,642","2,936","2,427","2,051","1,590","1,381",915,673,447,312,207,73,37,18,202
 07 098 ,Totolapa,"4,218",720,708,636,477,340,307,221,215,144,110,80,61,55,29,42,24,15,6,4,1,3,20
 07 099 ,La Trinitaria,"57,975","8,837","8,860","8,172","6,798","5,076","4,257","3,044","3,005","2,128","2,009","1,418","1,126",962,608,547,341,240,133,75,29,18,292
 07 100 ,Tumbalá,"22,373","3,620","3,605","2,996","2,380","2,037","1,781","1,338","1,177",793,651,595,320,432,169,169,81,122,19,32,5,9,42
 07 101 ,Tuxtla Gutiérrez,"295,608","34,929","36,167","35,273","36,581","32,528","27,118","22,807","18,846","13,219","10,303","7,821","5,692","4,559","3,270","2,243","1,474",934,526,196,120,50,952
 07 102 ,Tuxtla Chico,"32,348","4,607","4,856","4,477","3,733","2,965","2,240","1,887","1,728","1,346","1,177",957,722,593,345,250,198,110,54,28,9,14,52
 07 103 ,Tuzantán,"23,007","3,560","3,784","3,265","2,441","1,860","1,542","1,303","1,243",889,827,624,546,372,266,166,116,81,57,18,13,8,26
 07 104 ,Tzimol,"9,845","1,386","1,531","1,304","1,164",877,694,536,495,412,361,246,225,194,129,104,76,46,28,11,4,3,19
 07 105 ,Unión Juárez,"13,620","1,967","2,023","1,926","1,459","1,145",867,820,695,520,539,411,331,312,178,146,106,54,35,12,10,4,60
 07 106 ,Venustiano Carranza,"43,334","5,928","6,622","6,194","5,156","3,962","3,301","2,563","2,399","1,696","1,416","1,101",787,778,388,393,182,171,65,56,13,16,147
 07 107 ,Villa Corzo,"54,424","7,661","8,019","7,616","6,533","5,077","4,107","3,308","3,103","2,263","1,880","1,249",955,831,531,427,277,209,109,74,32,25,138
 07 108 ,Villaflores,"73,207","9,999","10,550","10,052","8,715","7,076","5,413","4,503","4,139","2,998","2,632","1,884","1,475","1,164",713,551,381,305,180,65,43,42,327
 07 109 ,Yajalón,"22,076","3,358","3,338","3,057","2,567","1,992","1,655","1,225","1,170",851,786,587,394,386,210,163,91,114,33,28,8,5,58
 07 110 ,San Lucas,"4,239",634,695,602,491,375,288,230,220,159,159,116,67,90,36,31,15,13,7,5,2,4,
 07 111 ,Zinacantán,"22,392","3,765","3,878","2,996","2,289","1,825","1,737","1,299","1,246",866,696,489,287,385,160,189,82,88,26,29,13,3,44
 07 112 ,San Juan Cancuc,"21,206","4,346","3,607","2,879","2,334","1,851","1,544","1,011",804,528,407,461,344,358,202,185,100,139,33,32,13,17,11
#NAME?,Chihuahua,"2,441,873","291,158","285,488","282,115","299,267","254,240","205,168","167,343","134,488","106,890","94,003","79,277","60,363","51,221","36,349","24,255","18,040","11,485","5,634","1,969",644,318,"32,158"
 08 001 ,Ahumada,"11,871","1,513","1,527","1,444","1,463","1,191",965,806,616,499,455,381,309,232,161,119,97,45,19,8,3,2,16
 08 002 ,Aldama,"17,169","2,033","2,079","2,049","2,163","1,697","1,358","1,003",829,720,739,686,504,443,309,185,153,124,56,13,3,4,19
 08 003 ,Allende,"9,411",935,"1,111","1,129","1,085",803,648,574,459,402,436,434,393,308,223,144,131,108,54,20,4,5,5
 08 004 ,Aquiles Serdán,"3,916",455,467,483,493,428,326,266,205,185,131,134,94,85,55,50,21,14,9,1,2,2,10
 08 005 ,Ascensión,"16,361","2,199","2,177","2,108","1,940","1,579","1,280","1,036",845,683,624,555,428,317,233,125,98,66,25,14,3,3,23
 08 006 ,Bachíniva,"8,139",885,981,980,915,724,634,569,424,381,350,352,279,240,162,106,73,38,21,7,2,1,15
 08 007 ,Balleza,"14,757","2,072","2,185","1,976","1,683","1,216",959,788,768,630,589,501,314,378,210,188,109,99,48,11,7,1,25
 08 008 ,Batopilas,"9,751","1,536","1,578","1,175",871,784,697,548,465,370,313,319,188,198,109,94,62,43,14,8,4,3,372
 08 009 ,Bocoyna,"22,417","3,108","3,335","3,166","2,425","1,805","1,703","1,299","1,233",997,842,701,502,443,314,215,141,99,36,18,4,6,25
 08 010 ,Buenaventura,"17,831","2,228","2,159","2,175","2,103","1,632","1,384","1,242",960,804,778,634,520,434,302,189,140,80,29,9,5,,24
 08 011 ,Camargo,"45,814","5,396","5,552","5,833","5,824","4,234","3,524","2,895","2,393","2,019","1,865","1,555","1,202",984,670,461,387,265,135,45,17,5,553
 08 012 ,Carichi,"9,527","1,238","1,404","1,346",797,648,690,554,518,480,434,401,268,250,161,124,88,56,33,20,2,3,12
 08 013 ,Casas Grandes,"10,042","1,215","1,314","1,325","1,250",900,671,548,514,455,482,324,258,233,209,141,97,63,21,8,,3,11
 08 014 ,Coronado,"2,914",325,378,405,342,258,190,162,132,144,124,119,78,69,66,41,35,25,16,4,,1,
 08 015 ,Coyame,"2,262",229,222,281,300,208,178,111,95,91,128,103,86,76,57,32,19,20,13,4,3,1,5
 08 016 ,La Cruz,"4,008",469,462,551,499,344,273,233,190,181,182,141,124,116,85,62,40,27,18,4,1,2,4
 08 017 ,Cuauhtémoc,"112,589","14,716","14,356","14,127","13,644","11,075","9,373","7,792","6,089","4,955","4,203","3,336","2,593","2,212","1,510","1,046",740,434,191,61,20,12,104
 08 018 ,Cusihuiriáchi,"6,467",728,734,811,727,629,457,401,292,300,302,270,210,205,131,105,88,36,25,8,3,,5
 08 019 ,Chihuahua,"530,783","57,668","57,160","56,870","65,067","58,483","47,585","39,788","31,906","25,004","21,750","17,811","13,670","11,615","8,440","5,640","4,209","2,536","1,221",428,140,41,"3,751"
 08 020 ,Chínipas,"7,116","1,093","1,099","1,033",790,579,421,344,295,277,264,237,198,144,94,93,67,45,22,7,2,1,11
 08 021 ,Delicias,"104,014","12,269","11,914","11,735","13,562","10,783","8,994","7,347","5,890","4,637","4,131","3,636","2,640","2,074","1,484",994,796,545,252,87,34,13,197
 08 022 ,Doctor Belisario Domínguez,"5,383",525,559,634,579,370,313,316,264,250,264,273,237,248,175,139,110,63,41,9,4,2,8
 08 023 ,Galeana,"3,130",442,433,373,359,261,248,208,192,125,98,94,82,84,54,29,20,12,9,,,1,6
 08 024 ,General Trías,"5,269",576,600,662,631,500,364,297,234,236,228,210,166,152,162,105,56,51,28,4,1,,6
 08 025 ,Gómez Farías,"10,073","1,127","1,182","1,336","1,251",933,685,591,558,553,455,398,271,238,171,121,91,59,25,14,2,1,11
 08 026 ,Gran Morelos,"5,327",574,535,684,620,445,317,298,242,230,275,255,210,177,132,124,108,67,18,6,1,2,7
 08 027 ,Guachochi,"34,255","5,391","5,055","4,322","3,498","2,941","2,559","1,926","1,895","1,368","1,291",901,673,640,445,296,200,124,63,31,5,12,619
 08 028 ,Guadalupe,"9,054","1,133","1,033","1,145","1,229",956,706,538,487,346,329,331,255,188,134,93,64,44,19,3,1,3,17
 08 029 ,Guadalupe y Calvo,"34,954","5,660","5,790","5,231","3,982","2,999","2,353","1,848","1,509","1,204","1,137",861,620,552,372,325,197,157,83,27,7,9,31
 08 030 ,Guazapares,"10,082","1,516","1,725","1,566",988,707,619,532,456,377,363,299,238,244,146,101,88,64,16,21,5,4,7
 08 031 ,Guerrero,"41,564","5,156","5,426","5,345","4,643","3,809","3,179","2,664","2,289","1,954","1,605","1,307","1,125","1,074",751,501,354,210,78,35,16,7,36
 08 032 ,Hidalgo del Parral,"90,647","10,732","11,136","11,329","11,151","8,649","7,266","6,324","5,245","4,187","3,459","3,066","2,303","1,943","1,364",839,703,465,217,93,27,8,141
 08 033 ,Huejotitán,"1,733",195,228,236,213,135,108,87,107,78,74,67,54,47,37,32,13,14,7,1,,,
 08 034 ,Ignacio Zaragoza,"9,059","1,035","1,030","1,199","1,116",853,695,510,431,412,420,344,257,269,160,142,77,52,32,14,4,1,6
 08 035 ,Janos,"10,898","1,697","1,590","1,443","1,313",991,755,538,501,449,398,344,273,217,143,106,71,26,20,8,,1,14
 08 036 ,Jiménez,"37,052","4,452","4,639","4,883","4,742","3,426","2,777","2,408","1,793","1,596","1,525","1,381","1,010",756,521,367,319,215,134,45,20,3,40
 08 037 ,Juárez,"798,499","93,059","85,210","83,149","100,893","93,084","72,955","57,694","44,032","33,050","27,836","23,432","17,490","14,584","10,312","6,303","4,641","2,963","1,557",571,184,88,"25,412"
 08 038 ,Julimes,"5,641",585,607,697,738,490,389,308,301,259,266,244,199,176,145,82,74,43,23,6,2,2,5
 08 039 ,López,"4,682",562,563,580,483,365,302,258,226,200,243,207,178,157,107,95,64,45,32,6,2,1,6
 08 040 ,Madera,"35,857","4,781","4,639","4,673","4,151","3,375","2,781","2,271","1,952","1,539","1,313","1,148",909,772,551,421,276,158,72,21,6,4,44
 08 041 ,Maguarichi,"1,690",236,252,221,181,146,132,93,101,59,80,38,29,43,33,15,14,11,4,,1,,1
 08 042 ,Manuel Benavides,"2,794",318,325,361,354,268,177,139,139,138,158,107,91,83,56,35,20,18,5,1,,,1
 08 043 ,Matachi,"4,109",445,536,551,451,326,283,249,210,186,184,148,101,132,88,73,48,29,15,7,1,2,44
 08 044 ,Matamoros,"5,306",642,644,715,613,465,395,273,255,227,238,208,175,148,98,80,56,37,20,6,,,11
 08 045 ,Meoqui,"34,995","4,073","4,109","4,166","4,497","3,299","2,633","2,156","1,849","1,670","1,469","1,297","1,077",845,626,484,348,195,120,26,10,11,35
 08 046 ,Morelos,"6,547","1,038","1,068",970,696,512,443,328,314,228,233,182,135,118,82,64,38,31,9,9,6,2,41
 08 047 ,Moris,"4,945",688,692,670,551,454,323,243,217,200,222,163,149,103,81,72,53,34,9,4,4,,13
 08 048 ,Namiquipa,"30,014","3,565","3,720","3,916","3,534","2,671","2,199","1,831","1,587","1,407","1,288","1,154",889,776,546,393,244,140,75,14,8,4,53
 08 049 ,Nonoava,"3,516",450,494,456,345,266,235,203,166,151,137,140,118,122,79,51,39,36,17,5,4,,2
 08 050 ,Nuevo Casas Grandes,"49,154","6,322","6,414","6,223","6,105","4,697","3,964","3,178","2,714","2,189","1,919","1,486","1,099",951,687,477,332,186,103,29,5,6,68
 08 051 ,Ocampo,"7,211",968,982,"1,016",861,653,515,416,387,264,273,237,152,130,85,86,51,28,17,5,2,2,81
 08 052 ,Ojinaga,"23,910","2,516","2,805","3,205","2,977","2,138","1,691","1,461","1,187","1,080","1,062",979,817,638,487,294,237,168,84,33,8,7,36
 08 053 ,Praxedis G. Guerrero,"8,442","1,060","1,024","1,080","1,089",821,627,503,418,347,354,331,242,174,130,74,80,49,21,8,2,1,7
 08 054 ,Riva Palacio,"10,081","1,664","1,462","1,395","1,212",881,685,576,475,346,337,270,201,196,134,92,76,42,22,3,2,,10
 08 055 ,Rosales,"14,154","1,573","1,595","1,665","1,959","1,382","1,141",867,783,701,577,537,379,317,235,150,141,82,39,13,4,3,11
 08 056 ,Rosario,"3,218",319,382,448,408,291,206,167,150,134,165,136,117,93,56,56,41,27,4,3,2,,13
 08 057 ,San Francisco de Borja,"3,220",333,336,343,332,276,234,190,171,147,171,162,155,111,89,64,40,41,11,9,1,,4
 08 058 ,San Francisco de Conchos,"3,231",327,386,423,373,277,210,190,156,153,156,148,113,89,66,63,36,31,8,6,1,,19
 08 059 ,San Francisco del Oro,"9,486","1,164","1,271","1,160","1,052",802,686,661,529,451,371,362,311,252,156,86,74,49,25,10,2,1,11
 08 060 ,Santa Bárbara,"15,124","1,802","2,021","2,048","1,787","1,261","1,061","1,038",830,722,563,556,408,351,242,156,125,91,39,10,3,1,9
 08 061 ,Satevó,"6,306",683,758,799,683,488,399,315,286,293,339,291,233,193,182,136,111,61,33,12,7,,4
 08 062 ,Saucillo,"32,612","3,694","3,809","4,164","4,388","3,211","2,380","2,040","1,697","1,486","1,360","1,167",870,724,538,365,335,217,102,20,9,4,32
 08 063 ,Temósachi,"9,021","1,139","1,166","1,118","1,029",820,670,552,459,367,371,292,238,260,188,131,115,49,28,13,3,3,10
 08 064 ,El Tule,"2,666",274,305,346,326,219,186,139,111,116,114,145,121,84,59,30,43,34,10,3,,,1
 08 065 ,Urique,"15,848","2,477","2,789","2,208","1,422","1,243","1,108",898,777,613,543,457,351,347,202,176,82,78,27,11,6,9,24
 08 066 ,Uruáchi,"7,314","1,086","1,104","1,069",773,585,461,349,358,292,291,226,182,176,111,84,61,49,30,6,4,3,14
 08 067 ,Valle de Zaragoza,"6,641",794,865,890,746,499,443,366,330,296,327,266,202,191,146,93,83,72,25,3,3,1,
#NAME?,Distrito Federal,"8,235,744","833,591","837,642","837,766","976,029","898,114","778,695","659,098","544,706","417,720","338,444","274,523","223,519","192,053","145,729","95,658","70,158","44,999","25,300","9,038","3,060",988,"28,914"
 09 002 ,Azcapotzalco,"474,688","45,199","45,705","46,681","56,246","54,343","46,287","37,464","30,398","23,726","20,149","17,178","13,929","11,701","8,851","5,758","4,482","2,967","1,632",517,198,65,"1,212"
 09 003 ,Coyoacán,"640,066","57,684","60,183","64,910","78,884","68,511","57,253","51,401","46,501","37,897","29,143","22,455","17,596","15,064","11,207","7,267","5,209","3,326","1,759",685,221,56,"2,854"
 09 004 ,Cuajimalpa de Morelos,"119,669","14,649","13,856","13,328","15,065","13,746","11,610","9,100","7,293","5,262","4,268","3,390","2,715","1,965","1,297",756,576,371,226,78,27,5,86
 09 005 ,Gustavo A. Madero,"1,268,068","128,359","128,738","127,753","152,302","144,621","123,136","98,931","79,211","61,404","52,347","43,545","35,936","30,603","22,657","14,547","10,529","6,513","3,732","1,357",440,146,"1,261"
 09 006 ,Iztacalco,"448,322","45,032","44,157","44,113","53,727","51,721","44,897","35,987","28,331","21,672","18,002","15,348","13,049","11,250","8,103","4,988","3,513","2,103","1,306",442,164,53,364
 09 007 ,Iztapalapa,"1,490,499","172,743","172,560","171,110","185,348","163,152","137,935","115,374","95,883","72,163","56,086","41,710","32,101","25,174","18,203","11,066","7,745","4,764","2,790",982,398,162,"3,050"
 09 008 ,La Magdalena Contreras,"195,041","20,658","21,187","21,433","24,559","21,678","18,084","15,159","12,723","9,601","7,819","5,956","4,846","3,964","2,894","1,715","1,139",711,451,147,75,22,220
 09 009 ,Milpa Alta,"63,654","7,317","7,901","7,672","7,534","6,518","5,456","4,704","3,889","2,774","2,396","1,961","1,566","1,307",998,502,324,280,222,69,37,13,214
 09 010 ,Alvaro Obregón,"642,753","66,703","67,002","66,283","79,773","71,987","60,406","50,340","41,749","31,924","25,842","20,438","16,832","13,999","10,420","6,724","4,788","3,026","1,710",599,212,53,"1,943"
 09 011 ,Tláhuac,"206,700","24,767","25,493","25,534","26,162","22,130","18,289","15,734","12,908","9,216","7,169","5,467","4,235","3,322","2,431","1,405",985,615,424,150,76,27,161
 09 012 ,Tlalpan,"484,866","51,112","52,654","53,120","60,790","51,108","43,480","39,461","33,766","25,985","20,103","14,958","10,783","8,642","6,223","3,916","2,798","1,766","1,026",402,154,60,"2,559"
 09 013 ,Xochimilco,"271,151","30,295","31,501","30,666","32,505","29,051","24,298","21,092","17,964","13,709","10,974","8,028","6,049","4,784","3,660","2,229","1,785","1,146",726,304,124,50,211
 09 014 ,Benito Juárez,"407,811","30,780","30,014","30,122","38,593","38,708","40,095","38,012","31,668","24,387","19,320","16,841","14,711","14,427","11,913","9,193","6,903","4,531","2,260",830,215,43,"4,245"
 09 015 ,Cuauhtémoc,"595,960","53,870","51,959","51,074","60,401","60,189","57,660","50,815","41,219","31,177","25,673","22,805","19,539","18,765","15,358","11,128","8,208","5,638","2,961","1,083",308,84,"6,046"
 09 016 ,Miguel Hidalgo,"406,868","33,677","33,722","34,137","45,965","44,343","38,486","32,825","27,405","21,744","18,277","15,711","13,732","12,760","10,249","7,164","5,684","3,791","2,064",723,202,84,"4,123"
 09 017 ,Venustiano Carranza,"519,628","50,746","51,010","49,830","58,175","56,308","51,323","42,699","33,798","25,079","20,876","18,732","15,900","14,326","11,265","7,300","5,490","3,451","2,011",670,209,65,365
#NAME?,Durango,"1,349,378","177,249","182,860","189,988","165,463","121,376","96,432","80,561","68,315","54,334","48,644","41,529","33,821","28,239","20,214","13,507","10,397","7,515","3,908","1,468",553,208,"2,797"
 10 001 ,Canatlán,"34,773","4,376","4,983","5,309","4,108","2,715","2,276","1,883","1,620","1,456","1,272","1,156","1,063",836,633,383,325,204,98,32,14,3,28
 10 002 ,Canelas,"4,557",677,827,674,507,343,292,216,192,135,157,132,98,97,47,48,57,34,14,5,,2,3
 10 003 ,Coneto de Comonfort,"5,535",928,882,903,658,453,317,230,187,201,192,141,133,92,75,55,47,22,16,2,,,1
 10 004 ,Cuencamé,"34,697","4,646","4,881","5,241","4,188","2,896","2,203","1,735","1,556","1,414","1,300","1,144",952,792,564,392,302,296,120,43,19,6,7
 10 005 ,Durango,"413,835","52,797","54,275","54,501","51,266","40,426","32,863","27,657","22,604","17,054","14,292","11,771","9,773","8,000","5,691","3,608","2,715","1,822",972,319,136,34,"1,259"
 10 006 ,General Simón Bolívar,"12,731","1,781","1,902","2,144","1,516",974,752,621,575,502,463,371,329,260,200,114,109,61,24,15,10,4,4
 10 007 ,Gómez Palacio,"232,742","28,016","28,180","30,828","29,507","23,082","18,435","15,971","13,337","10,025","8,462","7,012","5,587","4,536","3,168","2,040","1,622","1,109",571,220,63,23,948
 10 008 ,Guadalupe Victoria,"32,173","4,064","4,165","4,567","3,891","2,736","2,249","1,907","1,579","1,258","1,228","1,089",873,862,552,407,277,264,124,49,18,5,9
 10 009 ,Guanaceví,"11,925","1,582","1,857","1,787","1,329","1,001",777,643,569,440,485,414,309,243,168,120,95,53,22,10,6,3,12
 10 010 ,Hidalgo,"5,604",730,766,820,646,396,322,292,265,261,239,266,170,136,80,63,42,60,28,14,2,1,5
 10 011 ,Indé,"8,446","1,047","1,111","1,234","1,032",663,467,406,357,348,397,398,289,206,151,111,80,76,39,16,9,3,6
 10 012 ,Lerdo,"94,324","11,505","11,976","12,905","12,256","8,973","7,080","6,000","5,005","3,968","3,491","2,968","2,344","1,922","1,353",869,684,491,268,102,32,7,125
 10 013 ,Mapimí,"25,124","3,344","3,648","3,851","3,127","2,128","1,661","1,357","1,112","1,028",921,767,593,537,395,238,180,128,54,23,5,3,24
 10 014 ,Mezquital,"23,763","3,811","4,026","3,498","2,663","2,011","1,624","1,194","1,088",774,752,550,388,393,261,226,144,126,67,41,17,9,100
 10 015 ,Nazas,"14,250","1,830","2,030","2,361","1,556",936,761,717,678,601,579,563,414,351,273,169,184,114,74,37,10,4,8
 10 016 ,Nombre de Dios,"19,732","2,534","2,710","3,067","2,286","1,505","1,185",972,903,711,767,741,619,554,393,253,205,148,102,50,14,5,8
 10 017 ,Ocampo,"13,126","1,542","1,780","1,905","1,546","1,045",767,696,672,559,606,526,398,333,230,139,162,125,52,17,10,8,8
 10 018 ,El Oro,"14,815","1,727","1,896","2,093","1,894","1,097",793,672,662,654,669,601,507,488,345,270,196,130,71,29,9,7,5
 10 019 ,Otáez,"4,296",698,714,656,485,300,219,164,164,139,142,126,123,117,85,70,39,30,17,3,2,,3
 10 020 ,Pánuco de Coronado,"14,530","1,785","1,981","2,122","1,841","1,232",935,718,644,556,621,523,429,359,281,152,137,109,61,22,14,3,5
 10 021 ,Peñón Blanco,"10,979","1,462","1,626","1,674","1,101",758,689,588,520,468,418,345,324,325,237,116,130,101,57,22,11,6,1
 10 022 ,Poanas,"26,470","3,515","3,775","4,131","3,138","2,125","1,689","1,365","1,185",978,984,891,818,648,408,256,237,174,107,23,14,3,6
 10 023 ,Pueblo Nuevo,"39,280","6,464","6,142","5,790","4,852","3,594","2,713","2,018","1,837","1,340","1,125",893,757,547,457,291,192,124,55,30,18,10,31
 10 024 ,Rodeo,"14,208","2,007","2,234","2,211","1,580",892,828,713,616,549,536,481,416,319,237,198,155,121,66,32,11,4,2
 10 025 ,San Bernardo,"5,629",630,702,875,618,366,309,265,293,260,255,277,215,175,119,86,71,66,26,13,3,3,2
 10 026 ,San Dimas,"23,318","3,875","3,642","3,454","2,787","2,029","1,585","1,193","1,034",744,716,585,437,376,308,230,141,87,57,17,9,4,8
 10 027 ,San Juan de Guadalupe,"7,809","1,164","1,199","1,284",886,541,428,323,322,273,289,279,202,195,137,111,69,55,30,14,3,1,4
 10 028 ,San Juan del Río,"14,401","2,043","2,033","2,165","1,690","1,089",836,676,609,536,591,510,409,380,265,193,149,118,64,31,10,2,2
 10 029 ,San Luis del Cordero,"2,564",321,403,430,318,141,114,123,115,91,116,84,85,65,52,33,30,24,13,2,3,,1
 10 030 ,San Pedro del Gallo,"2,630",353,387,361,328,216,145,157,107,110,88,72,89,72,48,31,20,22,16,2,1,1,4
 10 031 ,Santa Clara,"7,894","1,152","1,145","1,268",943,635,425,354,333,318,305,228,196,174,125,106,84,53,30,9,6,,5
 10 032 ,Santiago Papasquiaro,"42,150","5,914","5,986","6,058","5,095","3,544","2,749","2,156","1,797","1,536","1,483","1,396","1,165",941,711,554,436,303,153,63,18,12,80
 10 033 ,Súchil,"7,693","1,080","1,168","1,111",932,609,450,345,312,298,264,256,212,212,127,114,77,62,37,18,4,2,3
 10 034 ,Tamazula,"21,842","3,890","3,643","3,368","2,495","1,743","1,272",957,827,732,644,575,414,405,276,224,144,121,50,29,16,4,13
 10 035 ,Tepehuanes,"14,942","1,932","1,975","1,974","1,702","1,119",871,718,660,643,628,630,480,456,394,293,208,142,79,28,5,3,2
